No,Short Code,Initial Sites,Co-Located Site Code,Co-Located Site Name,OMC Name,BSC/RNC,Long Code,Area,Zone,Office,Site Type,Site Category,HO / On Air Date,Generator,Generator Serial Number,Site Severity,MSP,VIP
639,3312AL,Initial,,,MIAMI-ALEX,ASBSCALS02,C2_3312AL_PH24,Alex,Alex,GLEEM,Outdoor Site,Macro,2025-11-24 00:00:00,,,Bronze,Nokia,
640,1267AL,Initial,,,I-MLTRY-HSPTL,ASBSCALS02,C1_1267AL_PH27_0,Alex,Alex,GLEEM,Micro Site,Micro,2025-12-24 00:00:00,,,Bronze,Nokia,
641,2A81AL,Initial,,,M-PS-ST5,ASBSCALS02,C1_2A81AL_PH28_0,Alex,Alex,GLEEM,Micro Site,Micro,2025-12-24 00:00:00,,,Bronze,Nokia,
642,1277AL,Initial,,,I-DSGNIA-GRMT,ASBSCALS02,C1_1277AL_PH28_0,Alex,Alex,SEMOUHA,Micro Site,Micro,2026-01-05 00:00:00,,,Bronze,Nokia,
643,3194AL,Initial,,,INT-RD-6,ASBSCALS02,C1_3194AL_PH23_0,Alex,Alex,GLEEM,Outdoor Site,Macro,2026-01-12 00:00:00,,,Bronze,Nokia,
644,2A80AL,Initial,,,M-GMRK-CRNSH,ASBSCALS02,C1_2A80AL_PH28_0,Alex,Alex,SEMOUHA,Outdoor Site,Macro,2026-03-18 00:00:00,,,Bronze,Nokia,
645,2959AL,Initial,,,M-IBN-WALID4,ASBSCALS02,C2_2959AL_PH18_0,Alex,Alex,GLEEM,Outdoor Site,Macro,2026-03-18 00:00:00,,,Bronze,Nokia,
646,0427AL,Initial,,,TAMIR-AXIS,AMERYA-HUA,C3_0427AL_PH09,Alex,Alex,SEMOUHA,Outdoor Site,Macro,2007-10-25 00:00:00,,,Bronze,Nokia,
647,2A24AL,Initial,,,M-ASAFRA-9,ASBSCALS02,C1_2A24AL_PH19,Alex,Alex,GLEEM,Micro,Micro,2026-04-01 00:00:00,,,Bronze,Nokia,
648,1279AL,Initial,,,I-SACO,ASBSCALS02,C1_1279AL_PH28,Alex,Alex,SEMOUHA,Micro,Micro,2026-04-01 00:00:00,,,Bronze,Nokia,
649,1269AL,Initial,,,I-ELITE,ASBSCALS02,C1_1269AL_PH28,Alex,Alex,SEMOUHA,Micro,Micro,2026-04-08 00:00:00,,,Bronze,Nokia,
650,3121AL,Initial,,,ASMEDA-2,ASBSCALS02,C1_3121AL_PH22,Alex,Alex,GLEEM,Outdoor Site,Macro,2026-04-23 00:00:00,,,Golden,Nokia,
651,1254AL,Initial,,,I-ALMOTAHEDA,ASBSCALS02,C1_1254AL_PH26,Alex,Alex,SEMOUHA,Micro,Micro,2026-04-23 00:00:00,,,Silver,Nokia,
652,3636AL,Initial,,,NAVAL-CLG,ASBSCALW01,C1_3636AL_PH28,Alex,Alex,GLEEM,Outdoor Site,Macro,2026-04-28 00:00:00,,,Bronze,Nokia,
