No,Short Code,Initial Sites,Co-Located Site Code,Co-Located Site Name,OMC Name,BSC/RNC,Long Code,Area,Zone,Office,Site Type,Site Category,HO / On Air Date,Generator,Generator Serial Number,Site Severity,MSP,VIP
534,0479AL,Initial,,,S_EZBT-THALATEN2_0479AL,NEWAWAYED02,C2_0479AL_PH09,Alex,Alex,SEMOUHA,Shelter Site,Macro,2025-06-01 00:00:00,,,Silver,Nokia,
535,2579AL,Initial,,,M-MISR-2,MANSHIA01,C6_2579AL_PH13,Alex,Alex,SEMOUHA,Micro Site,Micro,2025-06-01 00:00:00,,,Bronze,Nokia,
536,3161AL,Initial,,,MOHAMED-FAWZY2,SMOUHA01,C1_3161AL_PH23,Alex,Alex,SEMOUHA,Outdoor Site,Macro,2025-06-01 00:00:00,,,Bronze,Nokia,
537,3171AL,Initial,,,IZ-TALATIN-5,NEWAWAYED02,C1_3171AL_PH23,Alex,Alex,SEMOUHA,Outdoor Site,Macro,2025-06-01 00:00:00,,,Golden,Nokia,True
538,2A49AL,Initial,,,M-IZBT-QALAA1,NEWAWAYED02,C1_2A49AL_PH22,Alex,Alex,SEMOUHA,Micro Site,Micro,2025-06-01 00:00:00,,,Bronze,Nokia,
539,1047AL,Initial,,,I-EKBAL-SHP(REP),MIAMI01,C2_1047AL_PH09,Alex,Alex,GLEEM,Micro Site,Micro,2025-06-01 00:00:00,,,Bronze,Nokia,
540,2780AL,Initial,,,M-STEFANO-2,SEMOUHA02,C3_2780AL_PH17,Alex,Alex,GLEEM,Micro Site,Micro,2025-06-01 00:00:00,,,Bronze,Nokia,
541,0026AL,Initial,,,LABBAN,MANSHIA01,C3_0026AL_PH01,Alex,Alex,SEMOUHA,Outdoor Site,Macro,2025-06-01 00:00:00,,,Silver,Nokia,
542,3136AL,Initial,,,NASR-ST-2,NEWAWAYED02,C2_3136AL_PH22,Alex,Alex,SEMOUHA,Outdoor Site,Macro,2025-06-01 00:00:00,,,Silver,Nokia,
543,0446AL,Initial,,,SAYOUF,NEWAWAYED01,C12_0446AL_PH09,Alex,Alex,GLEEM,Outdoor Site,Macro,2025-06-01 00:00:00,,,Bronze,Nokia,
544,2016AL,Initial,,,M-HUSN-SOLIMAN,MIAMI01, C3_2016AL_PH03,Alex,Alex,GLEEM,Micro Site,Micro,2025-06-01 00:00:00,,,Bronze,Nokia,
545,0675AL,Initial,,,TALATEEN-ST-2,MIAMI01,C6_0675AL_PH13,Alex,Alex,GLEEM,Outdoor Site,Macro,2025-06-01 00:00:00,,,Golden,Nokia,True
546,0179AL,Initial,,,N_TALATEEN_0179AL,MAMOURA01,C2_0179AL_PH03,Alex,Alex,GLEEM,Shelter Site,Macro,2025-06-01 00:00:00,,,Silver,Nokia,
547,0743AL,Initial,,,VICTORIA-CTR,MIAMI01,C6_0743AL_PH14,Alex,Alex,GLEEM,Outdoor Site,Macro,2025-06-01 00:00:00,,,Silver,Nokia,
548,3049AL,Initial,,,GLEEM-3,SEMOUHA02,C1_3049AL_PH19,Alex,Alex,GLEEM,Outdoor Site,Macro,2025-06-01 00:00:00,,,Bronze,Nokia,
549,0919AL,Initial,,,CLASSIC-2,MIAMI01,C1_0919AL_PH18,Alex,Alex,GLEEM,Outdoor Site,Macro,2025-06-01 00:00:00,,,Bronze,Nokia,
550,2678AL,Initial,,,M-GAMAL-1,MIAMI01,C1_2678AL_PH15,Alex,Alex,GLEEM,Micro Site,Micro,2025-06-01 00:00:00,,,Bronze,Nokia,
551,0593AL,Initial,,,GAWAHER-ST,SMOUHA01,C2_0593AL_PH12,Alex,Alex,SEMOUHA,Outdoor Site,Macro,2025-06-01 00:00:00,,,Bronze,Nokia,
552,3032AL,Initial,,,NASR-ST,MANSHIA01,C1_3032AL_PH19,Alex,Alex,GLEEM,Outdoor Site,Macro,2025-06-01 00:00:00,,,Silver,Nokia,
553,0183AL,Initial,,,S_FCT_0183AL,MANSHIA02,C1_0183AL_PH03,Alex,Alex,SEMOUHA,Outdoor Site,Macro,2025-06-01 00:00:00,,,Bronze,Nokia,
554,3115AL,Initial,,,BASHAYER-KHER,MANSHIA02,C3_3115AL_PH22,Alex,Alex,SEMOUHA,Outdoor Site,Macro,2025-06-01 00:00:00,,,Golden,Nokia,True
555,0762AL,Initial,,,PHAROS,NEWAWAYED02,C7_0762AL_PH14,Alex,Alex,SEMOUHA,Outdoor Site,Macro,2025-06-01 00:00:00,,,Bronze,Nokia,
556,1155AL,Initial,,,I-AMN-EL DAWLA,NEWAWAYED02,C1_1155AL_PH18,Alex,Alex,SEMOUHA,Micro Site,Micro,2025-06-01 00:00:00,,,Bronze,Nokia,
557,0879AL,Initial,,,MNDRA-KBLY-2,MAMOURA01,C2_0879AL_PH17,Alex,Alex,GLEEM,Outdoor Site,Macro,2025-06-01 00:00:00,,,Golden,Nokia,True
558,0402AL,Initial,,,AMOUD (Replacement ),MANSHIA02,C3_0402AL_PH09,Alex,Alex,SEMOUHA,Outdoor Site,Macro,2025-06-01 00:00:00,,,Bronze,Nokia,
559,0405AL,Initial,,,HOMYAT-TRAIN,SMOUHA01,C10_0405AL_PH09,Alex,Alex,SEMOUHA,Outdoor Site,Macro,2025-06-01 00:00:00,,,Bronze,Nokia,
560,0325AL,Initial,,,S_MAHATET-MASR_0325AL,MANSHIA01,C3_0325AL_PH06,Alex,Alex,SEMOUHA,Outdoor Site,Macro,2025-06-01 00:00:00,,,Bronze,Nokia,
561,0684AL,Initial,,,RAML-MERY-2,NEWAWAYED01,C3_0684AL_PH13,Alex,Alex,GLEEM,Outdoor Site,Macro,2025-06-01 00:00:00,,,Silver,Nokia,
562,0585AL,Initial,,,KARAMA-STREET,NEWAWAYED02,C9_0585AL_PH12,Alex,Alex,SEMOUHA,Outdoor Site,Macro,2025-06-01 00:00:00,,,Bronze,Nokia,
563,0587AL,Initial,,,MAWASERSTREET,NEWAWAYED02,C16_0587AL_PH12,Alex,Alex,SEMOUHA,Outdoor Site,Macro,2025-06-01 00:00:00,,,Golden,Nokia,True
564,2691AL,Initial,,,M-PS-ST-1,SMOUHA01,C1_2691AL_PH15,Alex,Alex,GLEEM,Micro Site,Micro,2025-06-01 00:00:00,,,Bronze,Nokia,
565,0701AL,Initial,,,ABIS 8,NEWAWAYED02,C1_0701AL_PH14,Alex,Alex,SEMOUHA,Outdoor Site,Macro,2025-06-01 00:00:00,,,Bronze,Nokia,
566,0266AL,Initial,,,NASSREYA,MANSHIA02,C12_0266AL_PH03,Alex,Alex,SEMOUHA,Outdoor Site,Macro,2025-06-01 00:00:00,,,Bronze,Nokia,
567,0598AL,Initial,,,MALAHA,MAMOURA01,C2_0598AL_PH13,Alex,Alex,GLEEM,Outdoor Site,Macro,2025-06-01 00:00:00,,,Silver,Nokia,
568,2A57AL,Initial,,,M-MTROPLE-HTL,NA,C1_2A57AL_PH23,Alex,Alex,SEMOUHA,Micro Site,Micro,2025-06-01 00:00:00,,,Bronze,Nokia,
